code,first_letter,level,name,parent_code,region
210604,z,3,振安区,210600,0
210624,k,3,宽甸满族自治县,210600,0
210681,d,3,东港市,210600,0
210682,f,3,凤城市,210600,0
210702,g,3,古塔区,210700,0
210703,l,3,凌河区,210700,0
210711,t,3,太和区,210700,0
210726,h,3,黑山县,210700,0
210727,y,3,义县,210700,0
210781,l,3,凌海市,210700,0
210782,b,3,北镇市,210700,0
210802,z,3,站前区,210800,0
210803,x,3,西市区,210800,0
210804,b,3,鲅鱼圈区,210800,0
210811,l,3,老边区,210800,0
210881,g,3,盖州市,210800,0
210882,d,3,大石桥市,210800,0
210902,h,3,海州区,210900,0
210903,x,3,新邱区,210900,0
210904,t,3,太平区,210900,0
210905,q,3,清河门区,210900,0
210911,x,3,细河区,210900,0
210921,f,3,阜新蒙古族自治县,210900,0
210922,z,3,彰武县,210900,0
211002,b,3,白塔区,211000,0
211003,w,3,文圣区,211000,0
211004,h,3,宏伟区,211000,0
211005,g,3,弓长岭区,211000,0
211011,t,3,太子河区,211000,0
211021,l,3,辽阳县,211000,0
211081,d,3,灯塔市,211000,0
211102,s,3,双台子区,211100,0
211103,x,3,兴隆台区,211100,0
211104,d,3,大洼区,211100,0
211122,p,3,盘山县,211100,0
211202,y,3,银州区,211200,0
211204,q,3,清河区,211200,0
211221,t,3,铁岭县,211200,0
211223,x,3,西丰县,211200,0
211224,c,3,昌图县,211200,0
211281,d,3,调兵山市,211200,0
211282,k,3,开原市,211200,0
211302,s,3,双塔区,211300,0
211303,l,3,龙城区,211300,0
211321,z,3,朝阳县,211300,0
211322,j,3,建平县,211300,0
211324,k,3,喀喇沁左翼蒙古族自治县,211300,0
211381,b,3,北票市,211300,0
211382,l,3,凌源市,211300,0
211402,l,3,连山区,211400,0
211403,l,3,龙港区,211400,0
211404,n,3,南票区,211400,0
211421,s,3,绥中县,211400,0
211422,j,3,建昌县,211400,0
211481,x,3,兴城市,211400,0
220102,n,3,南关区,220100,0
220103,k,3,宽城区,220100,0
220104,c,3,朝阳区,220100,0
220105,e,3,二道区,220100,0
